,0,1,2,3,4
0,Isolate ID,A549 Intrinsic Confluence Disruption Assay,A549 Offensive Confluence Disruption Assay,A549 Intrinsic Cytotoxicity Assay,A549 Offensive Cytotoxicity Assay
1,S4_PosNeu/Curr_ProbeCond:T&F+,-1.9472172118005533,-1.5077962161295368,-0.9007164385103532,-0.564436410082503
2,S7_PosNeu/Curr_ProbeCond:T&F+,-0.757041415374748,-1.0757925055545017,-0.3287299866013134,-0.5936154924165336
3,S9_PosNeu/Curr_ProbeCond:T&F+,-0.05175966009298527,-1.4454811006894985,-1.3831112793357958,-0.9753601000101637
4,S10_PosNeu/Curr_ProbeCond:T&F+,-0.7831208914543377,-1.0940670881148038,-1.0193675403809477,0.08750814285853345
5,S11_PosNeu/Curr_ProbeCond:T&F+,-1.946540804874108,-0.6494368393210643,1.0380650102333389,0.5635554289054086
6,S12_PosNeu/Curr_ProbeCond:T&F+,-1.5630277405574975,-1.6924417789001094,0.7365708193121429,0.27937201972203307
7,S13_PosNeu/Curr_ProbeCond:T&F+,-1.2107498597081596,-0.3224360493354652,-0.7068894040394138,0.3202029480525652
8,S15_PosNeu/Curr_ProbeCond:T&F+,-0.8980037764263771,-1.1386042969376657,-0.8278760562764005,0.4622686948063301
9,S17_PosNeu/Curr_ProbeCond:T&F+,-1.5987774571107956,-1.572632074715436,-0.4992953716096812,-0.24760754605079133
10,S18_PosNeu/Curr_ProbeCond:T&F+,-0.8216760862593633,-1.1927844917427617,-1.4357408062604589,-1.0006139875368083
11,S19_PosNeu/Curr_ProbeCond:T&F+,-0.3152585950204836,1.5097029513696318,-1.6081931928432087,-1.8022498967211902
12,S20_PosNeu/Curr_ProbeCond:T&F+,-1.9406650833733945,-1.3379098524931679,0.08073460389719694,-1.3438250693842424
13,S24_PosNeu/Curr_ProbeCond:T&F+,-1.1705116053154372,-0.6486472156201422,-0.6069259415758401,-0.04660601458958924
14,S26_PosNeu/Curr_ProbeCond:T&F+,-1.2726591309925113,-0.9783876345150525,-0.9611631959656451,-0.3200449389806275
15,S29_PosNeu/Curr_ProbeCond:T&F+,-1.683720904186603,-1.7911024931858672,-1.1235199956699473,-0.5117775714277505
16,S30_PosNeu/Curr_ProbeCond:T&F+,-1.42886725818276,0.6648247640806922,-0.11332879797913156,-0.2844893834253978
17,S31_PosNeu/Curr_ProbeCond:T&F+,-0.3185259625733875,-1.907796216129495,-0.5519669525744494,-0.536640310314756
18,S32_PosNeu/Curr_ProbeCond:T&F+,-1.444849787558117,-1.2901714389459955,-0.9867865901866693,-0.12448049350544088
19,S34_PosNeu/Curr_ProbeCond:T&F+,-1.5240840949174332,-1.0861106100688787,-1.205671871571914,-0.5596798315052676
20,S38_PosNeu/Curr_ProbeCond:T&F+,-1.2098103172245338,-0.8299590206452774,-0.3017036176040182,-1.428311595570261
21,S39_PosNeu/Curr_ProbeCond:T&F+,-1.899859708193025,-1.5294682940516193,0.4472314114498035,0.7269117253263451
22,S40_PosNeu/Curr_ProbeCond:T&F+,-1.3668285032868686,-0.6174327601410814,-0.3024989712399309,-0.191377138527389
23,S47_PosNeu/Curr_ProbeCond:T&F+,-0.41982273128094094,-0.5118095638928412,-1.0490326663030145,-1.2807403321517292
24,S58_PosNeu/Curr_ProbeCond:T&F+,-1.544822731281019,-1.4204901194484192,-1.1015761554379284,-0.22971151920022387
